id,collect_time,date_created,sensor_id,uom,value,seconds
217011,2024-07-02 08:00:00,2024-07-02 08:05:46.422,1836026194,ft,1.42,1719907200
217140,2024-07-02 08:06:00,2024-07-02 08:10:46.582,1836026194,ft,1.4,1719907560
217269,2024-07-02 08:12:00,2024-07-02 08:15:46.484,1836026194,ft,1.35,1719907920
217525,2024-07-02 08:18:00,2024-07-02 08:25:46.443,1836026194,ft,1.31,1719908280
217654,2024-07-02 08:24:00,2024-07-02 08:30:46.786,1836026194,ft,1.25,1719908640
217783,2024-07-02 08:30:00,2024-07-02 08:35:46.462,1836026194,ft,1.18,1719909000
217912,2024-07-02 08:36:00,2024-07-02 08:40:46.453,1836026194,ft,1.12,1719909360
218041,2024-07-02 08:42:00,2024-07-02 08:45:46.429,1836026194,ft,1.05,1719909720
218299,2024-07-02 08:48:00,2024-07-02 08:55:46.453,1836026194,ft,0.98,1719910080
218428,2024-07-02 08:54:00,2024-07-02 09:00:46.620,1836026194,ft,0.96,1719910440
218557,2024-07-02 09:00:00,2024-07-02 09:05:46.791,1836026194,ft,0.92,1719910800
218686,2024-07-02 09:06:00,2024-07-02 09:10:46.456,1836026194,ft,0.87,1719911160
218815,2024-07-02 09:12:00,2024-07-02 09:15:47.246,1836026194,ft,0.84,1719911520
219073,2024-07-02 09:18:00,2024-07-02 09:25:46.752,1836026194,ft,0.81,1719911880
219202,2024-07-02 09:24:00,2024-07-02 09:30:46.483,1836026194,ft,0.78,1719912240
219331,2024-07-02 09:30:00,2024-07-02 09:35:46.426,1836026194,ft,0.75,1719912600
219460,2024-07-02 09:36:00,2024-07-02 09:40:46.435,1836026194,ft,0.72,1719912960
219589,2024-07-02 09:42:00,2024-07-02 09:45:46.535,1836026194,ft,0.69,1719913320
219847,2024-07-02 09:48:00,2024-07-02 09:55:46.481,1836026194,ft,0.63,1719913680
219976,2024-07-02 09:54:00,2024-07-02 10:00:46.488,1836026194,ft,0.6,1719914040
220105,2024-07-02 10:00:00,2024-07-02 10:05:46.700,1836026194,ft,0.55,1719914400
220234,2024-07-02 10:06:00,2024-07-02 10:10:46.452,1836026194,ft,0.48,1719914760
220363,2024-07-02 10:12:00,2024-07-02 10:15:46.460,1836026194,ft,0.46,1719915120
220619,2024-07-02 10:18:00,2024-07-02 10:25:46.544,1836026194,ft,0.41,1719915480
220748,2024-07-02 10:24:00,2024-07-02 10:30:47.060,1836026194,ft,0.37,1719915840
220877,2024-07-02 10:30:00,2024-07-02 10:35:46.604,1836026194,ft,0.33,1719916200
221006,2024-07-02 10:36:00,2024-07-02 10:40:46.786,1836026194,ft,0.28,1719916560
221135,2024-07-02 10:42:00,2024-07-02 10:45:46.519,1836026194,ft,0.22,1719916920
221393,2024-07-02 10:48:00,2024-07-02 10:55:46.478,1836026194,ft,0.18,1719917280
221522,2024-07-02 10:54:00,2024-07-02 11:00:47.057,1836026194,ft,0.12,1719917640
221651,2024-07-02 11:00:00,2024-07-02 11:05:46.621,1836026194,ft,0.1,1719918000
221780,2024-07-02 11:06:00,2024-07-02 11:10:46.686,1836026194,ft,0.03,1719918360
221909,2024-07-02 11:12:00,2024-07-02 11:15:46.491,1836026194,ft,-0.01,1719918720
222166,2024-07-02 11:18:00,2024-07-02 11:25:46.598,1836026194,ft,-0.05,1719919080
222295,2024-07-02 11:24:00,2024-07-02 11:30:46.779,1836026194,ft,-0.1,1719919440
222424,2024-07-02 11:30:00,2024-07-02 11:35:46.624,1836026194,ft,-0.13,1719919800
222553,2024-07-02 11:36:00,2024-07-02 11:40:46.484,1836026194,ft,-0.15,1719920160
222682,2024-07-02 11:42:00,2024-07-02 11:45:46.514,1836026194,ft,-0.2,1719920520
222940,2024-07-02 11:48:00,2024-07-02 11:55:47.091,1836026194,ft,-0.23,1719920880
223069,2024-07-02 11:54:00,2024-07-02 12:00:46.511,1836026194,ft,-0.29,1719921240
223198,2024-07-02 12:00:00,2024-07-02 12:05:46.566,1836026194,ft,-0.35,1719921600
223327,2024-07-02 12:06:00,2024-07-02 12:10:47.036,1836026194,ft,-0.38,1719921960
223456,2024-07-02 12:12:00,2024-07-02 12:15:46.562,1836026194,ft,-0.4,1719922320
223714,2024-07-02 12:18:00,2024-07-02 12:25:46.467,1836026194,ft,-0.46,1719922680
